TYPE,DYN_MassInHalfRad,DM_MassInHalfRad,R_eff,Mass,VelDisp,mangaid
nETGs,11.37,11.03476522347774,0.8251672532626669,11.401706405974629,2.4072208929273966,1-106251
nETGs,11.514,11.266323060037525,0.963410228739932,11.453162312948574,2.433289685195026,1-106338
nETGs,10.842,10.410989739827796,0.47275622010380486,10.941907074869526,2.193958978019187,1-106411
nETGs,11.726,11.551912154673996,1.084433560665467,11.545873973058905,2.4398062113933303,1-107040
nETGs,11.443,11.279784339709842,0.8608163678391635,11.239952486339588,2.4303975913869666,1-107844
nETGs,11.028,10.245628639860893,0.8690555528697896,11.250687872889333,2.214843848047698,1-10797
nETGs,10.608,10.450425525244066,0.2803509421130178,10.392323896070037,2.2100508498751372,1-108257
nETGs,10.449,10.156627289278074,0.18241353547450226,10.440166623384128,2.216957207361097,1-109167
nETGs,11.489,11.311885761143374,0.9414124360612907,11.314947499921724,2.419955748489758,1-109392
nETGs,11.208,10.834581013258614,0.8987252837628725,11.270029306032336,2.277150613963797,1-109521
nETGs,11.037,10.807818700770058,0.7676006783640207,10.9508617830578,2.2543063323312857,1-109849
nETGs,11.111,10.925133601633748,0.7231265203607314,10.953822734248277,2.3236645356081,1-109924
nETGs,11.322,10.995931537398526,0.8872787691850803,11.345673269695057,2.35237549500052,1-113242
nETGs,11.275,11.01925940606259,0.7554165411711017,11.22443188001492,2.3729120029701067,1-113368
nETGs,10.82,10.390107905486813,0.6498219214822402,10.919247129563225,2.1961761850399735,1-113551
nETGs,11.164,10.672974849242594,0.7933020757664124,11.295727246247178,2.3176455432211585,1-113585
nETGs,11.567,11.340032648390869,1.0458712266407195,11.47765652246678,2.400365273349939,1-113789
nETGs,11.309,10.902956800252632,0.9144492062979706,11.3935005786199,2.295567099962479,1-114063
nETGs,11.225,10.898909691097993,0.7902855960191398,11.248692797142624,2.3370597263205246,1-114093
nETGs,11.356,11.171444999069703,0.8026371674861268,11.196356902787324,2.3830969299490943,1-114128
